,Unnamed: 0,source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
0,0,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"562,511",2.4
1,1,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"156,254",13.7
2,2,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"1,232,168",5.2
3,3,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"278,737",3.9
4,4,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"227,965",5.4
5,5,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"161,062",3.2
6,6,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)",STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"146,152",1.6
7,7,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"147,530",2.3
8,8,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"746,987",4.7
9,9,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"266,382",10.1
10,10,CENSUS,ANIMALS & PRODUCTS,POULTRY,TURKEYS,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,INVENTORY,HEAD,TURKEYS - INVENTORY,AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),STATE,51,51,VA,VIRGINIA,,,,,,,,0,,,9000,UNITED STATES,VIRGINIA,2012,POINT IN TIME,12,12,END OF DEC,,2012-12-31 00:00:00,"811,532",2.6
